date,stock_code,stock_name,pick_price,prev_close,pick_day_change,next_day_change,success
20260427,300142,沃森生物,11.67,11.92,13.89,13.89,1
20260428,002354,天娱数科,8.83,5.45,9.98,9.98,1
20260429,603127,昭衍新药,37.08,38.65,3.47,3.47,1
20260430,300888,稳健医疗,26.79,31.32,3.8,3.8,1
20260506,002626,金达威,13.16,15.27,6.23,6.23,1
20260507,600742,富维股份,7.15,9.43,4.14,4.14,1
20260508,300449,汉邦高科,7.54,7.87,19.95,19.95,1
20260511,002685,华东重机,6.15,9.43,0.96,0.96,1
20260511,688278,特宝生物,52.93,57.48,3.18,3.18,1
20260512,300617,安靠智电,53.05,65.0,4.92,4.92,1
20260512,301538,骏鼎达,49.35,86.72,20.0,20.0,1
20260512,600509,天富能源,8.28,9.05,4.63,4.63,1
20260513,601137,博威合金,23.03,19.6,6.51,6.51,1
20260513,601139,深圳燃气,5.63,6.6,2.27,2.27,1
20260513,688281,华秦科技,47.08,78.6,20.0,20.0,1
20260514,600328,中盐化工,6.11,8.05,4.63,4.63,1
20260514,688189,南新制药,5.92,10.2,9.18,9.18,1
20260514,688981,中芯国际,148.76,118.02,6.02,6.02,1
20260515,000703,恒逸石化,16.67,14.78,1.62,1.62,1
20260515,002382,蓝帆医疗,5.17,6.75,1.77,1.77,1
20260515,600179,安通控股,4.73,4.15,8.17,8.17,1
20260518,301078,孩子王,6.73,8.5,11.99,11.99,1
20260518,600506,统一股份,14.16,18.11,10.02,10.02,1
20260519,000809,和展能源,3.31,3.97,10.0,10.0,1
20260519,601121,宝地矿业,5.71,7.08,3.51,3.51,1
20260519,688308,欧科亿,187.66,107.18,10.5,10.5,1
20260520,300769,德方纳米,63.72,73.45,7.98,7.98,1
20260520,600676,交运股份,6.63,7.57,9.83,9.83,1
20260520,601966,玲珑轮胎,10.18,12.23,3.68,3.68,1
20260521,000887,中鼎股份,17.35,19.01,7.99,7.99,1
20260521,603899,晨光股份,20.68,21.38,6.58,6.58,1
20260521,605566,福莱蒽特,39.32,36.53,10.01,10.01,1
20260522,000688,国城矿业,32.26,42.81,1.15,1.15,1
20260522,002049,紫光国微,83.98,78.9,6.7,6.7,1
20260522,600637,东方明珠,8.31,10.46,10.0,10.0,1
20260525,002617,露笑科技,9.66,9.51,10.02,10.02,1
20260525,301050,雷电微力,32.85,38.05,9.56,9.56,1
20260525,688097,博众精工,59.05,59.5,2.46,2.46,1
20260526,000021,深科技,53.51,40.78,10.01,10.01,1
20260526,002990,盛视科技,75.2,58.08,4.67,4.67,1
20260526,600585,海螺水泥,17.17,19.39,2.41,2.41,1
20260527,002019,亿帆医药,9.39,10.2,5.74,5.74,1
20260527,002812,恩捷股份,62.86,71.51,3.3,3.3,1
20260527,300088,长信科技,11.67,7.56,3.42,3.42,1
20260527,301511,德福科技,155.3,107.63,17.76,17.76,1
20260528,688607,康众医疗,46.7,56.75,8.7,8.7,1
20260528,688783,西安奕材-U,53.86,38.09,9.15,9.15,1
20260529,300197,节能铁汉,1.97,1.62,19.88,19.88,1
20260529,300818,耐普矿机,19.29,23.93,8.38,8.38,1
20260601,002206,海利得,5.32,5.53,1.99,1.99,1
20260601,002653,海思科,55.51,50.46,2.63,2.63,1
20260601,603190,亚通精工,23.06,26.31,5.94,5.94,1
20260602,300502,新易盛,566.0,722.69,9.23,9.23,1
20260602,600310,广西能源,3.96,5.78,10.05,10.05,1
20260602,601798,蓝科高新,7.61,7.76,10.05,10.05,1
20260602,688625,呈和科技,92.0,99.32,9.51,9.51,1
20260603,600201,生物股份,11.44,11.55,2.34,2.34,1
20260603,603881,数据港,24.32,36.52,3.93,3.93,1
20260604,002471,中超控股,5.95,7.16,9.96,9.96,1
20260604,300478,杭州高新,37.91,42.84,3.9,3.9,1
20260604,688114,华大智造,48.27,48.21,13.21,13.21,1
20260605,002064,华峰化学,10.42,10.29,5.19,5.19,1
20260605,300037,新宙邦,83.42,76.62,2.65,2.65,1
20260605,300141,和顺电气,9.48,10.98,2.36,2.36,1
20260605,603616,韩建河山,6.05,6.0,9.95,9.95,1
20260608,002326,永太科技,24.48,22.93,3.55,3.55,1
20260608,002364,中恒电气,53.95,52.63,5.9,5.9,1
20260608,603065,宿迁联盛,21.85,9.41,10.05,10.05,1
20260609,300164,通源石油,8.03,9.03,4.99,4.99,1
20260609,300395,菲利华,139.96,120.56,3.68,3.68,1
20260609,600567,山鹰国际,1.39,1.28,10.16,10.16,1
20260609,603220,中贝通信,21.65,22.18,10.0,10.0,1
20260610,002758,浙农股份,8.25,7.73,2.31,2.31,1
20260610,300702,天宇股份,20.24,19.39,2.41,2.41,1
20260610,301592,六九一二,120.35,107.8,19.5,19.5,1
20260610,603315,福鞍股份,15.14,14.92,10.0,10.0,1
20260610,688167,XR炬光科,351.32,282.37,20.0,20.0,1
20260611,002938,鹏鼎控股,110.98,107.11,4.05,4.05,1
20260611,301182,凯旺科技,107.0,87.9,1.12,1.12,1
20260611,301348,蓝箭电子,30.89,24.83,19.98,19.98,1
20260611,605066,天正电气,6.75,6.21,9.29,9.29,1
20260612,002272,川润股份,22.88,21.23,1.24,1.24,1
20260612,002859,洁美科技,103.77,75.5,10.0,10.0,1
20260612,300853,申昊科技,30.66,37.83,7.25,7.25,1
20260612,600312,平高电气,17.34,18.38,4.33,4.33,1
20260615,000791,甘肃能源,7.49,8.41,9.95,9.95,1
20260615,300014,亿纬锂能,62.21,58.58,14.85,14.85,1
20260615,300900,广联航空,36.3,32.97,4.21,4.21,1
20260615,600751,海航科技,2.91,3.24,2.15,2.15,1
20260616,000526,学大教育,24.6,27.28,3.73,3.73,1
20260616,003012,东鹏控股,4.39,4.62,5.04,5.04,1
20260616,300209,行云科技,28.15,26.09,8.6,8.6,1
20260616,603459,红板科技,92.74,85.08,6.76,6.76,1
20260616,688102,斯瑞新材,44.04,40.21,7.3,7.3,1
20260617,000697,炼石航空,10.32,11.82,4.22,4.22,1
20260617,002701,奥瑞金,4.28,4.36,5.05,5.05,1
20260617,600517,国网英大,4.74,4.96,8.23,8.23,1
20260617,603316,诚邦股份,21.65,20.61,6.13,6.13,1
20260617,688403,汇成股份,39.3,27.93,11.38,11.38,1
20260618,002457,青龙管业,12.26,13.08,2.75,2.75,1
20260618,300146,汤臣倍健,9.24,9.8,7.94,7.94,1
20260618,300497,富祥股份,20.66,19.56,10.88,10.88,1
20260618,603648,畅联股份,8.81,8.45,9.18,9.18,1
20260618,688102,斯瑞新材,44.04,44.23,0.9,0.9,1
20260622,000882,华联股份,1.33,1.32,9.77,9.77,1
20260622,002099,海翔药业,5.19,5.11,5.98,5.98,1
20260622,002648,卫星化学,24.87,22.38,10.0,10.0,1
20260622,300604,长川科技,314.9,264.35,9.86,9.86,1
20260622,603386,骏亚科技,20.78,17.93,9.98,9.98,1
20260622,605228,神通科技,12.91,12.93,4.03,4.03,1
20260623,000949,新乡化纤,6.72,6.72,8.97,8.97,1
20260623,002436,兴森科技,51.81,48.11,6.41,6.41,1
20260623,002468,申通快递,13.68,13.72,3.28,3.28,1
20260623,603496,恒为科技,22.79,25.98,3.04,3.04,1
20260624,002020,京新药业,11.78,12.43,2.82,2.82,1
20260624,002837,英维克,82.57,82.73,8.24,8.24,1
20260624,002965,祥鑫科技,51.88,42.51,10.01,10.01,1
20260624,600673,东阳光,34.28,35.2,4.02,4.02,1
20260624,688260,昀冢科技,144.0,124.3,16.45,16.45,1
20260625,000703,恒逸石化,16.67,15.18,9.98,9.98,1
20260625,000725,京东方A,7.79,7.46,9.57,9.57,1
20260625,002326,永太科技,24.48,25.29,2.83,2.83,1
20260625,300806,斯迪克,115.58,116.22,4.11,4.11,1
20260625,688611,杭州柯林,70.92,74.85,3.37,3.37,1
